Province,Year,Average Temperature (°C),Total Rainfall (mm)
Riau,2001,27.53131868131868,2916.599999999997
Riau,2002,27.68646408839778,3087.2
Riau,2003,27.699173553718985,3779.9999999999995
Riau,2004,27.68587257617728,2959.6000000000004
Riau,2005,27.975616438356177,3293.8000000000006
Riau,2006,27.71955922865016,3165.8
Riau,2007,27.615890410958897,3518.8999999999987
Riau,2008,28.13907103825136,2875.9
Riau,2009,28.24958904109588,3355.2
Riau,2010,26.89506849315068,3832.7000000000016
Riau,2011,26.764931506849347,2632.4000000000005
Riau,2012,26.928142076502724,2770.7000000000003
Riau,2013,27.151506849315076,2866.4999999999986
Riau,2014,26.765753424657536,3253.3
Riau,2015,27.43397260273973,2295.0999999999995
Riau,2016,27.80245901639346,2944.399999999999
Central Kalimantan,2001,,0.0
Central Kalimantan,2002,,0.0
Central Kalimantan,2003,,0.0
Central Kalimantan,2004,,0.0
Central Kalimantan,2005,,0.0
Central Kalimantan,2006,,0.0
Central Kalimantan,2007,,0.0
Central Kalimantan,2008,,0.0
Central Kalimantan,2009,,0.0
Central Kalimantan,2010,27.186301369863013,4080.3000000000047
Central Kalimantan,2011,26.856986301369872,2771.6000000000013
Central Kalimantan,2012,27.074316939890682,2579.299999999999
Central Kalimantan,2013,27.149041095890414,3060.6999999999994
Central Kalimantan,2014,27.245205479452036,2573.9
Central Kalimantan,2015,26.950684931506853,3083.5999999999995
Central Kalimantan,2016,27.195628415300536,3802.999999999999
West Kalimantan,2001,27.66050420168068,2304.592
West Kalimantan,2002,27.9927977839335,2772.2339999999995
West Kalimantan,2003,27.880716253443524,3053.3589999999995
West Kalimantan,2004,27.67404371584703,3599.2810000000004
West Kalimantan,2005,27.528219178082203,3686.023
West Kalimantan,2006,27.50357142857145,2881.705000000002
West Kalimantan,2007,27.083835616438346,4252.573000000002
West Kalimantan,2008,26.826575342465752,3827.414
West Kalimantan,2009,27.168493150684913,3926.946000000002
West Kalimantan,2010,25.687945205479448,5190.493
West Kalimantan,2011,25.543561643835616,3482.776
West Kalimantan,2012,25.633606557377057,3885.394
West Kalimantan,2013,25.80246575342467,3245.660000000003
West Kalimantan,2014,25.881917808219182,2764.9909999999986
West Kalimantan,2015,26.3912328767123,3715.5059999999985
