province,year,average_temp,average_rain
Aceh,2001,,0.0
Bangka Belitung Islands,2001,26.9336879432624,2757.2
Banten,2001,27.213150684931502,2459.296
Bengkulu,2001,26.81820728291315,2255.8
Central Kalimantan,2001,,0.0
Central Sulawesi,2001,28.35443037974683,433.0999999999999
East Java,2001,27.87452054794521,2485.8
East Kalimantan,2001,,0.0
Gorontalo,2001,27.0456043956044,1967.9000000000012
Jambi,2001,,0.0
Lampung,2001,27.54888888888889,1629.7000000000005
Maluku,2001,27.351780821917806,2853.9999999999973
North Kalimantan,2001,,0.0
North Maluku,2001,27.62589531680443,2594.900000000001
North Sulawesi,2001,,0.0
North Sumatra,2001,9.2,0.0
Papua,2001,20.20728291316526,2060.1000000000013
Riau,2001,27.53131868131868,2916.599999999997
Riau Islands,2001,27.207182320441994,1958.3000000000004
South Kalimantan,2001,,0.0
South Sulawesi,2001,,0.0
South Sumatra,2001,27.153693181818173,2917.899999999999
Southeast Sulawesi,2001,,0.0
West Java,2001,25.03871866295265,2501.5270000000005
West Kalimantan,2001,27.66050420168068,2304.592
West Nusa Tenggara,2001,27.4100558659218,1099.000000000001
West Papua,2001,,0.0
West Sulawesi,2001,27.901095890410964,1392.2000000000012
West Sumatra,2001,26.932876712328746,0.0
Aceh,2002,,0.0
Bangka Belitung Islands,2002,27.85694444444446,1652.800000000001
Banten,2002,27.656438356164397,2930.978999999999
Bengkulu,2002,27.118559556786696,2526.7000000000016
Central Kalimantan,2002,,0.0
Central Sulawesi,2002,11.4,0.0
East Java,2002,28.068493150684933,1456.3000000000006
East Kalimantan,2002,,0.0
Gorontalo,2002,27.516857142857127,1063.8000000000002
Jambi,2002,,0.0
Lampung,2002,27.691233766233747,714.6
Maluku,2002,27.662857142857128,1073.1
North Kalimantan,2002,,0.0
North Maluku,2002,27.371671388101976,1460.1
North Sulawesi,2002,,0.0
North Sumatra,2002,-7.1,0.0
Papua,2002,20.28672839506171,1432.1999999999991
Riau,2002,27.68646408839778,3087.2
Riau Islands,2002,27.48480662983427,1982.5
South Kalimantan,2002,,0.0
South Sulawesi,2002,,0.0
South Sumatra,2002,27.255124653739628,2282.8000000000006
Southeast Sulawesi,2002,,0.0
West Java,2002,25.985154061624648,1982.5590000000009
West Kalimantan,2002,27.9927977839335,2772.2339999999995
West Nusa Tenggara,2002,27.371900826446275,1728.4000000000003
West Papua,2002,,0.0
West Sulawesi,2002,27.942196531791897,1242.5999999999997
West Sumatra,2002,27.12541436464088,0.0
Aceh,2003,,0.0
Bangka Belitung Islands,2003,27.64862637362635,2507.9
Banten,2003,27.67260273972604,1715.6649999999995
Bengkulu,2003,27.28898305084749,2718.6
Central Kalimantan,2003,,0.0
Central Sulawesi,2003,24.7,0.0
East Java,2003,28.22986301369864,2177.7
East Kalimantan,2003,,0.0
Gorontalo,2003,27.46657458563538,1556.2000000000005
Jambi,2003,,0.0
Lampung,2003,27.72506887052341,1601.5999999999997
Maluku,2003,27.49860724233981,1706.8000000000002
North Kalimantan,2003,,0.0
North Maluku,2003,27.169637883008367,1996.9000000000003
North Sulawesi,2003,,0.0
North Sumatra,2003,,0.0
Papua,2003,20.73780487804878,1818.1
Riau,2003,27.699173553718985,3780.0
Riau Islands,2003,27.46516853932587,2445.4
South Kalimantan,2003,,0.0
South Sulawesi,2003,,0.0
South Sumatra,2003,27.05906593406593,2393.0
Southeast Sulawesi,2003,,0.0
West Java,2003,27.379718309859136,1338.2
West Kalimantan,2003,27.880716253443524,3053.3589999999995
West Nusa Tenggara,2003,27.30824175824177,1403.1999999999996
West Papua,2003,,0.0
West Sulawesi,2003,28.01662049861496,1526.9000000000003
West Sumatra,2003,26.90082417582417,0.0
Aceh,2004,,0.0
Bangka Belitung Islands,2004,27.839071038251383,2073.0
Banten,2004,27.54316939890707,1957.9089999999997
Bengkulu,2004,27.499180327868885,2813.799999999999
Central Kalimantan,2004,,0.0
Central Sulawesi,2004,28.65750000000001,296.20000000000005
East Java,2004,28.142349726775976,2576.8000000000006
East Kalimantan,2004,,0.0
Gorontalo,2004,27.56160220994476,780.5000000000001
Jambi,2004,,0.0
Lampung,2004,27.77459016393445,1646.9999999999998
Maluku,2004,27.32872928176793,1953.6
North Kalimantan,2004,,0.0
North Maluku,2004,27.48044077134985,1323.6999999999998
North Sulawesi,2004,,0.0
North Sumatra,2004,,0.0
Papua,2004,20.847499999999997,1205.5
Riau,2004,27.68587257617728,2959.6000000000004
Riau Islands,2004,27.385479452054817,2274.6
South Kalimantan,2004,,0.0
South Sulawesi,2004,,0.0
South Sumatra,2004,27.130327868852447,2290.3
Southeast Sulawesi,2004,,0.0
West Java,2004,27.42568306010928,2035.7
West Kalimantan,2004,27.67404371584703,3599.2810000000004
West Nusa Tenggara,2004,27.2087431693989,1160.9000000000003
West Papua,2004,,0.0
West Sulawesi,2004,27.95382513661202,998.3
West Sumatra,2004,26.97555555555556,0.0
Aceh,2005,,0.0
Bangka Belitung Islands,2005,27.22430167597765,2353.9
Banten,2005,27.563287671232867,2490.375999999997
Bengkulu,2005,27.28684931506849,3757.599999999999
Central Kalimantan,2005,,0.0
Central Sulawesi,2005,28.99731343283584,2474.4
East Java,2005,28.4128767123288,2792.4
East Kalimantan,2005,,0.0
Gorontalo,2005,27.05780821917809,1328.0000000000002
Jambi,2005,,0.0
Lampung,2005,26.86520547945207,1852.6
Maluku,2005,27.534246575342465,2578.6
North Kalimantan,2005,,0.0
North Maluku,2005,27.06575342465753,2419.5
North Sulawesi,2005,,0.0
North Sumatra,2005,,0.0
Papua,2005,20.631067961165044,1566.7999999999995
Riau,2005,27.975616438356177,3293.8000000000006
Riau Islands,2005,27.537534246575365,1994.7
South Kalimantan,2005,,0.0
South Sulawesi,2005,,0.0
South Sumatra,2005,27.179726027397276,3196.3
Southeast Sulawesi,2005,,0.0
West Java,2005,27.27150684931505,2474.1869999999994
West Kalimantan,2005,27.528219178082203,3686.023
West Nusa Tenggara,2005,27.442465753424663,1435.6
West Papua,2005,,0.0
West Sulawesi,2005,28.2413698630137,1232.3
West Sumatra,2005,27.017534246575348,0.0
Aceh,2006,,0.0
Bangka Belitung Islands,2006,27.255219780219768,2003.0
Banten,2006,27.600273972602743,1710.4909999999998
Bengkulu,2006,27.055769230769236,2753.7000000000003
Central Kalimantan,2006,,0.0
Central Sulawesi,2006,29.1740524781341,1728.3999999999994
East Java,2006,28.29150684931504,1984.1
East Kalimantan,2006,,0.0
Gorontalo,2006,27.06730769230768,1239.0000000000002
Jambi,2006,,0.0
Lampung,2006,27.02005494505495,1725.3
Maluku,2006,27.23534246575343,2669.3
North Kalimantan,2006,,0.0
North Maluku,2006,27.051780821917777,2024.4
North Sulawesi,2006,,0.0
North Sumatra,2006,,0.0
Papua,2006,20.13855799373041,1233.2999999999995
Riau,2006,27.71955922865016,3165.8
Riau Islands,2006,27.53873626373628,1773.8
South Kalimantan,2006,,0.0
South Sulawesi,2006,,0.0
South Sumatra,2006,27.281868131868123,2394.7000000000007
Southeast Sulawesi,2006,,0.0
West Java,2006,27.39752747252749,2803.4010000000003
West Kalimantan,2006,27.50357142857145,2881.705000000002
West Nusa Tenggara,2006,26.941758241758222,1577.4999999999998
West Papua,2006,,0.0
West Sulawesi,2006,28.21593406593407,984.3
West Sumatra,2006,26.88966480446927,0.0
Aceh,2007,,0.0
Bangka Belitung Islands,2007,26.821643835616463,3003.7000000000003
Banten,2007,27.51534246575341,3465.592000000001
Bengkulu,2007,26.657260273972625,3247.900000000001
Central Kalimantan,2007,,0.0
Central Sulawesi,2007,29.04066985645933,1491.0
East Java,2007,28.21260273972603,2121.7
East Kalimantan,2007,,0.0
Gorontalo,2007,26.83863013698632,1830.3000000000004
Jambi,2007,,0.0
Lampung,2007,27.051506849315047,2137.7000000000003
Maluku,2007,26.98520547945205,2655.599999999999
North Kalimantan,2007,,0.0
North Maluku,2007,27.016758241758232,2464.6000000000004
North Sulawesi,2007,,0.0
North Sumatra,2007,,0.0
Papua,2007,19.947397260273977,2308.400000000001
Riau,2007,27.615890410958897,3518.8999999999987
Riau Islands,2007,27.147671232876707,3073.899999999999
South Kalimantan,2007,,0.0
South Sulawesi,2007,,0.0
South Sumatra,2007,27.35068493150684,2555.9999999999995
Southeast Sulawesi,2007,,0.0
West Java,2007,26.95041095890413,3211.720999999998
West Kalimantan,2007,27.083835616438343,4252.573000000002
West Nusa Tenggara,2007,27.38379120879122,1233.4
West Papua,2007,,0.0
West Sulawesi,2007,27.672876712328737,1411.9999999999998
West Sumatra,2007,26.84459833795014,0.0
Aceh,2008,,0.0
Bangka Belitung Islands,2008,26.814207650273215,2271.6000000000004
Banten,2008,27.16857923497266,1937.8380000000009
Bengkulu,2008,26.5421917808219,3506.1999999999985
Central Kalimantan,2008,,0.0
Central Sulawesi,2008,28.76056338028169,2440.499999999998
East Java,2008,27.79289617486339,1536.4
East Kalimantan,2008,,0.0
Gorontalo,2008,26.682692307692317,2520.600000000001
Jambi,2008,,0.0
Lampung,2008,26.712602739726023,2141.9
Maluku,2008,26.574794520547943,4815.200000000002
North Kalimantan,2008,,0.0
North Maluku,2008,26.869780219780225,2722.8
North Sulawesi,2008,,0.0
North Sumatra,2008,,0.0
Papua,2008,19.975342465753418,2666.999999999998
Riau,2008,28.13907103825136,2875.9
Riau Islands,2008,26.93068493150684,2659.8
South Kalimantan,2008,,0.0
South Sulawesi,2008,,0.0
South Sumatra,2008,27.543835616438336,2502.7
Southeast Sulawesi,2008,,0.0
West Java,2008,26.143561643835607,4092.5789999999993
West Kalimantan,2008,26.826575342465752,3827.414
West Nusa Tenggara,2008,27.122739726027387,1812.7999999999995
West Papua,2008,,0.0
West Sulawesi,2008,27.444383561643832,2309.2
West Sumatra,2008,26.479234972677588,0.0
Aceh,2009,,0.0
Bangka Belitung Islands,2009,27.27609890109889,1865.4000000000003
Banten,2009,27.492602739726024,1777.7390000000012
Bengkulu,2009,26.648901098901096,3477.0999999999995
Central Kalimantan,2009,,0.0
Central Sulawesi,2009,29.43483146067415,1844.0999999999997
East Java,2009,28.05589041095892,2121.100000000001
East Kalimantan,2009,,0.0
Gorontalo,2009,27.29642857142858,1688.6
Jambi,2009,,0.0
Lampung,2009,26.87465564738294,1818.7
Maluku,2009,27.073076923076915,2348.699999999998
North Kalimantan,2009,,0.0
North Maluku,2009,27.553698630137,1976.4999999999995
North Sulawesi,2009,,0.0
North Sumatra,2009,,0.0
Papua,2009,20.22197802197802,2579.2000000000003
Riau,2009,28.24958904109588,3355.2
Riau Islands,2009,27.267768595041336,1975.8
South Kalimantan,2009,,0.0
South Sulawesi,2009,,0.0
South Sumatra,2009,28.360547945205465,2272.0999999999995
Southeast Sulawesi,2009,,0.0
West Java,2009,25.954246575342484,4238.026000000001
West Kalimantan,2009,27.168493150684917,3926.946000000002
West Nusa Tenggara,2009,27.407692307692315,1199.1
West Papua,2009,,0.0
West Sulawesi,2009,27.975274725274726,2105.7
West Sumatra,2009,26.91456043956044,0.0
Aceh,2010,21.324657534246604,4221.500000000002
Bangka Belitung Islands,2010,27.387945205479458,3909.5
Banten,2010,27.54273972602741,2674.3640000000005
Bengkulu,2010,26.15424657534245,4496.299999999999
