Province,2010 Average Temp,2011 Average Temp,2010 Average Rain,2011 Average Rain
Aceh,21.324657534246604,21.01863013698631,4221.500000000002,3465.999999999999
Bangka Belitung Islands,27.387945205479458,27.135616438356173,3909.4999999999995,3222.7000000000007
Banten,27.54273972602741,27.359726027397272,2674.3640000000005,1570.7809999999988
Bengkulu,26.154246575342455,26.026849315068493,4496.299999999999,2742.899999999998
Central Kalimantan,27.186301369863013,26.856986301369872,4080.3000000000047,2771.6000000000013
Central Sulawesi,22.16301369863015,22.887671232876706,3944.5,3599.799999999999
East Java,27.18082191780822,26.684109589041107,3846.1999999999985,2571.399999999999
East Kalimantan,25.341095890410955,25.000000000000004,2810.4999999999986,2503.7999999999984
Gorontalo,28.266849315068498,27.94328767123289,2848.4,2217.1999999999994
Jambi,26.171506849315094,25.833698630136993,2828.899999999998,1929.9000000000012
Lampung,26.292602739726014,26.442739726027405,3144.1,2424.100000000001
Maluku,27.235616438356164,26.572876712328757,3426.5999999999985,3764.7999999999984
North Kalimantan,22.835616438356155,22.569315068493154,2798.6999999999966,3155.9999999999995
North Maluku,28.061917808219174,27.672328767123307,3233.5000000000014,3340.7000000000003
North Sulawesi,28.446849315068498,27.96191780821917,2131.5,2132.8999999999983
North Sumatra,23.223835616438354,22.988219178082193,5010.899999999998,4853.699999999998
Papua,22.74739726027398,22.04849315068494,2631.299999999999,2743.8000000000015
Riau,26.89506849315068,26.764931506849347,3832.7000000000016,2632.4000000000005
Riau Islands,27.85534246575342,27.630684931506853,2915.2000000000003,3190.7
South Kalimantan,26.135342465753403,25.825205479452055,3452.899999999999,2367.4999999999977
South Sulawesi,26.642465753424652,26.25808219178082,3520.8000000000034,2303.4999999999986
South Sumatra,26.868493150684937,26.840821917808228,4335.599999999998,2560.2999999999997
Southeast Sulawesi,24.563013698630126,24.106575342465767,3255.3999999999996,1716.299999999999
West Java,25.5054794520548,24.80630136986301,5585.151999999996,4182.898999999996
West Kalimantan,25.687945205479448,25.543561643835616,5190.493,3482.776
West Nusa Tenggara,26.789863013698607,25.79835616438356,2663.4999999999995,2258.400000000001
West Papua,25.952602739726,25.398904109589047,2715.3999999999996,3435.1000000000017
West Sulawesi,22.96904109589042,22.750958904109567,3310.0999999999985,2139.6000000000004
West Sumatra,25.84301369863013,25.705753424657544,4250.3,3260.8000000000006
